IMPACTREE STANDARD QUESTIONNAIRE,,,,,,,,,,,,,,,,
IMP-M15-I02,Occupational Health & Safety,Hazard Identification & Risk Assessment,Describe the processes used to identify work-related hazards and assess risks on both a routine and non-routine basis. How is the quality of these processes assured?,Narrative,Text; % of operations covered,As at reporting date,Describe processes for identifying and assessing work-related hazards on a routine and non-routine basis. Include how the quality and effectiveness of these processes is assured and the tools or standards used.,—,—,—,✓,1,,,,GRI-403-2a | GRI-403-2i | GRI-403-2b | GRI-403-2c | GRI-403-2d | GRI-403-7a
IMP-M15-I03,Occupational Health & Safety,Worker Participation in OHS,Describe the mechanisms that allow workers to report work-related hazards and remove themselves from unsafe situations without fear of reprisal.,Yes / No + Description,Text,As at reporting date,Describe the formal mechanisms through which workers can report hazards and remove themselves from unsafe work situations without facing disciplinary action or reprisal.,—,—,—,✓,1,,,,GRI-403-4a | GRI-403-4b
IMP-M15-I04,Occupational Health & Safety,Safety Incidents & Lost Time Injuries,Report the Lost Time Injury Frequency Rate (LTIFR) and total recordable work-related injuries for both employees and workers for the current and previous financial year.,Data Table,Rate per million hours worked; Number,Current FY + Previous FY,Report the Lost Time Injury Frequency Rate (LTIFR) and total recordable work-related injuries separately for employees and workers. Provide the number of hours worked as the denominator.,✓,—,—,✓,2,BRSR-11,,,GRI-403-9a | GRI-403-9i | GRI-403-9v | GRI-403-9b | GRI-403-9c | GRI-403-9d | GRI-403-9e | GRI-403-9f | GRI-403-9g
IMP-M15-I05,Occupational Health & Safety,Fatalities,Report the number of work-related fatalities among employees and workers during the reporting period.,Data Table,Number of fatalities,Current FY + Previous FY,Report the total number of work-related fatalities separately for employees and workers. Describe the circumstances and the corrective or preventive actions implemented in response.,—,—,—,—,0,,,,
IMP-M15-I06,Occupational Health & Safety,Occupational Diseases & Ill-health,"Report cases of work-related ill-health and occupational diseases for employees and workers, including the types of diseases and rates.",Data Table,"Number of cases; Rate per 1,000 workers",Current FY + Previous FY,Report work-related ill-health and occupational disease cases separately for employees and workers. Include disease types where known. Describe monitoring programs in place.,—,—,—,✓,1,,,,GRI-403-10a | GRI-403-10i | GRI-403-10b | GRI-403-10c | GRI-403-10d | GRI-403-10e
IMP-M15-I07,Occupational Health & Safety,Healthcare & Medical Services,Do employees and workers have access to non-occupational medical and healthcare services? Describe the scope and nature of healthcare access provided.,Yes / No + Description,Text; % workforce covered,As at reporting date,"State whether employees and workers have access to non-occupational medical and healthcare services. Describe the types of services provided (on-site clinic, health insurance, wellness programs) and the coverage.",—,—,—,✓,1,,,,GRI-403-3a | GRI-403-6a | GRI-403-6b
IMP-M15-I08,Occupational Health & Safety,OHS Training & Awareness,"Report the number and percentage of employees and workers who received training on health and safety measures, by category and gender.",Data Table,Number trained; % coverage,Current FY + Previous FY,"Report the number and percentage of employees and workers who received OHS training during the reporting period, broken down by category (employees/workers) and gender.",—,—,—,✓,1,,,,GRI-403-5a
IMP-M15-I09,Occupational Health & Safety,OHS Assessments & Audits,"What percentage of your plants and offices have been assessed for health and safety practices and working conditions by internal teams, statutory authorities, or third parties?",Data Table,% of plants/offices assessed,Current FY,"Report the percentage of plants and offices assessed for health and safety practices and working conditions during the reporting year, by assessment type (internal, statutory authority, third-party).",✓,—,—,—,1,BRSR-14 | BRSR-15,,,
IMP-M15-I10,Occupational Health & Safety,Rehabilitation & Return to Work,"Report the number of employees and workers who suffered high-consequence injuries and have been rehabilitated and placed in suitable employment, or whose family members have been placed in suitable employment.",Data Table,Number of workers; Number rehabilitated,Current FY + Previous FY,"Report the total number of employees and workers who suffered high-consequence work-related injuries or ill-health, and the number who have been rehabilitated and placed in suitable employment or whose family members have been placed in employment.",—,—,—,—,0,,,,
"  M16  ·  DIVERSITY, EQUITY & INCLUSION",,,,,,,,,,,,,,,,
IMP-M16-I01,"Diversity, Equity & Inclusion",Gender Diversity in Leadership,Report the number and percentage of women on the Board of Directors and in Key Management Personnel positions.,Data Table,Number; % of total,As at end of FY,Report the total number and percentage of women on the Board of Directors and in Key Management Personnel (KMP) positions. Trend data for 3 years is encouraged.,✓,—,—,✓,2,BRSR-19,,,GRI-405-1a | GRI-405-1b | GRI-405-2a | GRI-405-2b
IMP-M16-I02,"Diversity, Equity & Inclusion",Workforce Gender Breakdown,Report the total number of employees and workers broken down by gender across all employment categories and levels.,Data Table,Number; % of total,As at end of FY,"Report total employees and workers broken down by gender (male, female, and other/non-binary where applicable) across all employment categories. Report as both absolute numbers and percentages.",—,—,—,—,0,,,,
IMP-M16-I03,"Diversity, Equity & Inclusion",Differently Abled Employees & Workers,"Report the number and percentage of differently abled employees and workers (permanent and non-permanent), broken down by gender.",Data Table,Number; % of total,As at end of FY,"Report the total number and percentage of differently abled employees and workers, broken down by permanent/non-permanent status and gender.",—,—,—,—,0,,,,
IMP-M16-I04,"Diversity, Equity & Inclusion",Equal Opportunity Policy & Accessibility,"Does your organization have an equal opportunity policy per the Rights of Persons with Disabilities Act (or equivalent)? Are your premises accessible to differently abled employees, workers, and visitors?",Yes / No + Description,Text,As at reporting date,"State whether an equal opportunity policy is in place (per Rights of Persons with Disabilities Act 2016 or equivalent). Confirm whether physical premises are accessible to differently abled employees, workers, and visitors. Describe gaps and plans to address them.",✓,—,—,—,1,BRSR-3 | BRSR-4 | BRSR-3 | BRSR-4,,,
IMP-M16-I05,"Diversity, Equity & Inclusion",Non-Discrimination,Report the number of discrimination incidents at the workplace during the current and previous financial year. Describe corrective actions taken.,Data Table,Number of incidents,Current FY + Previous FY,Report the number of discrimination incidents reported at the workplace during the current and previous financial year. Describe corrective actions taken and whether processes have been reviewed as a result.,—,—,✓,✓,2,,,EV-LAB3601 | EV-LAB561,GRI-406-1a | GRI-406-1b | GRI-406-1i
IMP-M16-I06,"Diversity, Equity & Inclusion",Performance & Career Development Reviews,"Report the number and percentage of employees and workers who received formal performance and career development reviews, broken down by gender.",Data Table,Number; % of workforce,Current FY + Previous FY,"Report the number and percentage of employees and workers who received formal performance and career development reviews, broken down by employment category and gender.",✓,—,—,✓,2,BRSR-9,,,GRI-404-3a
  M17  ·  TRAINING & SKILL DEVELOPMENT,,,,,,,,,,,,,,,,
IMP-M17-I01,Training & Skill Development,ESG & Ethics Training,"Report the percentage of board members, KMPs, employees, and workers covered by training on ESG principles, ethics, and anti-corruption during the financial year.",Data Table,Number of programs; % coverage,Current FY,"Report the number of ESG, ethics, and anti-corruption training programs conducted during the year. Report the percentage of Board members, KMPs, employees, and workers covered, by category. Include topics covered and impact assessment.",✓,—,—,—,1,BRSR-1 | BRSR-1,,,
IMP-M17-I02,Training & Skill Development,Health & Safety Training,"Report the number and percentage of employees and workers who received training on health and safety measures, by category.",Data Table,Number trained; % coverage,Current FY + Previous FY,"Report the number and percentage of employees and workers who received health and safety training, by category (employees/workers) and gender. Describe the content and format of programs offered.",✓,—,—,—,1,BRSR-8,,,
IMP-M17-I03,Training & Skill Development,Skills Upgradation Training,Report the total hours of skill development and professional training provided to employees and workers. Describe the types of programs offered.,Data Table,Total training hours; Average hours per employee,Current FY + Previous FY,"Report total hours and average hours of skill development and professional training provided per employee, by category and gender. Describe the types of programs offered and investment made.",—,—,✓,✓,2,,,EV-LAB343,GRI-404-1a
IMP-M17-I04,Training & Skill Development,Value Chain Partner Training,"Report the number of awareness programs conducted for value chain partners on ESG and responsible business conduct topics, and the percentage of partners covered.",Data Table,Number of programs; % of partners covered,Current FY,Report the number of ESG awareness and training programs conducted for value chain partners. Report coverage as a percentage of total value of business done with such partners. Describe the topics covered.,—,—,—,—,0,,,,
  M18  ·  COMMUNITY & SOCIAL IMPACT,,,,,,,,,,,,,,,,
IMP-M18-I01,Community & Social Impact,Social Impact Assessments,"Has your organization conducted Social Impact Assessments (SIA) for projects under applicable laws? Describe the methodology, whether conducted by an independent agency, and whether results are in the public domain.",Data Table,Number of SIAs; INR / USD,Current FY,"Report Social Impact Assessments (SIAs) conducted for projects under applicable laws. For each, provide project name, SIA notification number, date, whether conducted by an independent external agency, and whether results are publicly available.",✓,—,—,—,1,BRSR-1 | BRSR-1 | BRSR-5,,,
IMP-M18-I02,Community & Social Impact,Rehabilitation & Resettlement,"Provide details of any ongoing Rehabilitation and Resettlement (R&R) programs for project-affected families, including number of families, percentage covered, and amounts paid.",Data Table,Number of PAFs; INR paid,Current FY,"Report all ongoing Rehabilitation and Resettlement (R&R) projects. For each, provide the project name, state, district, number of Project Affected Families (PAFs), percentage covered by R&R, and total amounts paid during the year.",✓,—,—,—,1,BRSR-2 | BRSR-2,,,
IMP-M18-I03,Community & Social Impact,Community Engagement & Grievance Mechanisms,Describe mechanisms to receive and redress community grievances. Describe engagement with vulnerable and marginalized stakeholder groups and actions taken to address their concerns.,Narrative,Number of grievances,Current FY,Describe mechanisms available for communities to raise grievances and seek redress. Report engagement with vulnerable and marginalized groups and specific actions taken to address their concerns.,✓,—,—,✓,2,BRSR-3 | BRSR-3,,,GRI-203-1a | GRI-203-1b | GRI-203-1c | GRI-203-2a | GRI-203-2b
IMP-M18-I04,Community & Social Impact,CSR Expenditure & Projects,"Is CSR applicable to your organization under applicable laws? Report CSR expenditure, projects undertaken, and investments in aspirational or underserved districts.",Mixed,INR / USD; Number of projects,Current FY,"State whether CSR is applicable under Section 135 of the Companies Act (or equivalent). Report total CSR expenditure, projects undertaken, geographies covered, and investments in aspirational or underserved districts identified by government bodies.",✓,—,—,—,1,BRSR-22 | BRSR-6,,,
IMP-M18-I05,Community & Social Impact,Beneficiaries of CSR Projects,Report the total number of beneficiaries from CSR projects and the percentage from vulnerable or marginalized groups.,Data Table,Number of beneficiaries; %,Current FY,"For each CSR project, report the number of beneficiaries and the percentage who are from vulnerable or marginalized groups (women, scheduled castes/tribes, persons with disabilities, elderly, etc.).",—,—,—,—,0,,,,
IMP-M18-I06,Community & Social Impact,Local Community Engagement,"What percentage of your operations have implemented local community engagement programs, stakeholder engagement plans, or social impact assessments?",Mixed,% of operations; Number of programs,Current FY,"Report the percentage of operations with active local community engagement programs. Describe the types of programs (community development, infrastructure, livelihood support) and outcomes achieved.",—,—,—,✓,1,,,,GRI-413-1a | GRI-413-1i | GRI-413-1v | GRI-413-2a | GRI-413-2i
IMP-M18-I07,Community & Social Impact,Traditional Knowledge & Intellectual Property,Does your organization use or benefit from traditional knowledge in its products or processes? Describe benefit-sharing arrangements and any intellectual property disputes involving traditional knowledge.,Data Table + Narrative,Number of IP cases,Current FY,"Identify any intellectual property derived from traditional knowledge that the organization owns or has acquired. For each, describe whether benefits are shared with originating communities and the basis for calculating the benefit share.",—,—,—,—,0,,,,
  M19  ·  CUSTOMER & PRODUCT RESPONSIBILITY,,,,,,,,,,,,,,,,
IMP-M19-I01,Customer & Product Responsibility,Product Health & Safety Assessment,What percentage of your significant product and service categories have been assessed for health and safety impacts? Report incidents of non-compliance with product safety regulations.,Mixed,% of product categories assessed; Number of incidents,Current FY,"Report the percentage of significant product and service categories assessed for health and safety impacts. Report incidents of non-compliance with product safety regulations, including fines, warnings, and product bans.",—,—,—,✓,1,,,,GRI-416-1a | GRI-416-2a | GRI-416-2i | GRI-416-2b
IMP-M19-I02,Customer & Product Responsibility,Product Labeling & Information Requirements,"What percentage of your products and services carry information on environmental and social parameters, safe and responsible usage, and recycling or safe disposal guidance?",Data Table,% of products/turnover covered,Current FY,"Report the percentage of products and services (by number of SKUs or by turnover) that include labeling on: (a) environmental and social parameters, (b) safe and responsible usage, and (c) recycling or safe disposal guidance.",✓,—,—,✓,2,BRSR-2 | BRSR-2,,,GRI-417-1a | GRI-417-1i | GRI-417-1v | GRI-417-1b
IMP-M19-I03,Customer & Product Responsibility,Responsible Marketing & Advertising,"Report incidents of non-compliance with regulations concerning product and service information, labeling, marketing communications, and advertising. Describe corrective actions taken.",Data Table,Number of non-compliances; INR / USD fines,Current FY + Previous FY,"Report incidents of non-compliance with advertising and marketing regulations. For each, describe the nature of the non-compliance, regulatory action taken, and corrective measures implemented.",✓,—,—,✓,2,BRSR-6,,,GRI-417-2a | GRI-417-2i | GRI-417-2b | GRI-417-3a | GRI-417-3i | GRI-417-3b
IMP-M19-I04,Customer & Product Responsibility,Product Recalls,Report the number of voluntary and forced product recalls during the reporting period and the reasons for each recall.,Data Table,Number of recalls,Current FY,"Report the total number of voluntary and forced product recalls during the reporting period. For each recall, describe the product category, reason for recall, number of units affected, and actions taken to address the underlying safety issue.",✓,—,—,—,1,BRSR-4 | BRSR-4,,,
IMP-M19-I05,Customer & Product Responsibility,Consumer Complaints Management,Describe the mechanisms in place to receive and respond to consumer complaints and feedback. Report the number of complaints filed and pending resolution by category.,Data Table,Number of complaints,Current FY + Previous FY,"Describe the consumer complaint and feedback mechanism. Report complaints received and pending resolution at year-end by category: data privacy, advertising, cybersecurity, delivery of essential services, restrictive trade practices, unfair trade practices.",✓,—,—,—,1,BRSR-1 | BRSR-3 | BRSR-1 | BRSR-3,,,
IMP-M19-I06,Customer & Product Responsibility,Data Privacy & Cybersecurity,"Does your organization have a framework or policy on data privacy and cybersecurity? Report the number of data breaches, including those involving personally identifiable information (PII) of customers.",Mixed,Number of breaches; % involving PII,Current FY,"State whether a data privacy and cybersecurity policy or framework exists and provide a web link. Report the number of substantiated data breaches, including those involving personally identifiable information (PII) of customers.",✓,—,✓,✓,3,BRSR-5 | BRSR-5,,EV-FB3301,GRI-418-1a | GRI-418-1i | GRI-418-1b | GRI-418-1c
IMP-M19-I07,Customer & Product Responsibility,Essential Services Continuity,Describe mechanisms in place to inform consumers of any risk of disruption or discontinuation of essential services.,Yes / No + Description,Text,As at reporting date,Describe the mechanisms in place to proactively inform customers of risks of disruption or discontinuation of essential services. Include communication channels used and response time commitments.,—,—,—,—,0,,,,
IMP-M19-I08,Customer & Product Responsibility,Consumer Satisfaction,Has your organization conducted consumer satisfaction surveys? Describe channels through which product and service information is made accessible to consumers.,Narrative,Text; Sample size,Current FY,"Describe whether and how consumer satisfaction is measured (surveys, NPS, complaints analysis). Report key findings and channels through which product and service information is made accessible to consumers.",—,—,—,—,0,,,,
  M20  ·  ECONOMIC PERFORMANCE,,,,,,,,,,,,,,,,
IMP-M20-I01,Economic Performance,Economic Value Generated & Distributed,"Report direct economic value generated and distributed (EVG&D), including revenues, operating costs, employee compensation, community investments, and retained earnings.",Data Table,INR / USD (crore or million),Current FY + Previous FY,"Report Economic Value Generated and Distributed (EVG&D): revenues, operating costs, employee wages and benefits, payments to providers of capital, payments to governments (taxes), community investments, and retained earnings.",—,✓,—,✓,2,,CDP-1.4.1,,GRI-201-1a | GRI-201-1i | GRI-201-1b | GRI-201-3a | GRI-201-3b | GRI-201-3i | GRI-201-3c | GRI-201-3d | GRI-201-3e | GRI-201-4a | GRI-201-4i | GRI-201-4v | GRI-201-4b | GRI-201-4c
IMP-M20-I02,Economic Performance,Financial Implications of Climate Change,"Identify and report risks and opportunities posed by climate change that have the potential to generate substantive changes to your organization, including estimated financial implications.",Data Table + Narrative,INR / USD; Probability rating,Current FY,"For each material climate-related financial risk or opportunity, describe its nature, time horizon, likelihood, and estimated financial impact (as a range). Describe management costs and strategic response.",—,✓,—,—,1,,CDP-12.1 | CDP-12.1.1 | CDP-12.1.2 | CDP-12.1.3 | CDP-12.2 | CDP-12.2.1 | CDP-12.3 | CDP-12.4 | CDP-12.5 | CDP-12.6 | CDP-12.6.1 | CDP-12.7 | CDP-12.7.1,,
IMP-M20-I03,Economic Performance,R&D & Capex in Sustainable Technologies,Report the percentage of R&D and capital expenditure (capex) invested in technologies to improve environmental and social impacts of products and processes.,Data Table,INR / USD; % of total R&D/Capex,Current FY + Previous FY,Report total R&D and Capex investments. Report separately the amount and percentage invested in technologies to improve environmental and social impacts. Describe the nature of these investments.,✓,✓,—,—,2,BRSR-1 | BRSR-1,CDP-7.39 | CDP-7.40 | CDP-7.40.1,,
IMP-M20-I04,Economic Performance,Life Cycle Assessment (LCA),"Has your organization conducted a Life Cycle Assessment (LCA) for any products or services? Report the boundary, whether conducted by an independent agency, and whether results are publicly available.",Data Table + Narrative,Text; NIC Code,Current FY,"Report Life Cycle Assessments (LCAs) conducted for products or services. For each, provide the product/service name, NIC code, percentage of turnover, boundary of the LCA, whether conducted by an independent agency, and public availability of results.",✓,—,—,—,1,BRSR-5,,,
  M21  ·  LEGAL & ENVIRONMENTAL COMPLIANCE,,,,,,,,,,,,,,,,
IMP-M21-I01,Legal & Environmental Compliance,Environmental Law Compliance,"Is your organization compliant with applicable environmental laws and regulations (Water Act, Air Act, Environment Protection Act, and equivalent)? Report any non-compliances, regulatory actions, and corrective measures.",Mixed,Number of non-compliances; INR fines,Current FY,"State whether the organization is compliant with all applicable environmental laws (Water Act, Air Act, Environment Protection Act, and associated rules). Report any non-compliances, fines, regulatory orders, and corrective actions taken.",✓,—,—,—,1,BRSR-12,,,
IMP-M21-I02,Legal & Environmental Compliance,Environmental Impact Assessments,"Has your organization conducted Environmental Impact Assessments (EIA) for projects under applicable regulations? Provide details including notification number, date, whether by independent agency, and public disclosure status.",Data Table,Number of EIAs,Current FY,"Report all Environmental Impact Assessments conducted for projects under applicable notification requirements. For each, provide the project name, EIA notification number, date, whether conducted by an independent external agency, and public disclosure status.",✓,—,—,—,1,BRSR-11,,,
IMP-M21-I03,Legal & Environmental Compliance,Social & Labor Law Compliance,"Is your organization compliant with applicable social and labor laws (rights of differently abled persons, human rights legislation, labor regulations)? Report any non-compliances and corrective actions.",Mixed,Number of non-compliances,Current FY,"State whether the organization is compliant with applicable social and labor laws (Rights of Persons with Disabilities Act, human rights legislation, minimum wages, labor regulations). Report non-compliances and corrective actions.",—,—,—,—,0,,,,
IMP-M21-I04,Legal & Environmental Compliance,Non-Compliances & Corrective Actions,"Report all instances of non-compliance with environmental, social, or governance regulations during the reporting period, including penalties imposed and corrective actions taken or underway.",Data Table,Number of instances; INR / USD penalties,Current FY,"Report all instances of regulatory non-compliance across environmental, social, and governance domains. For each, describe the applicable law, nature of the non-compliance, penalty or action taken, and corrective measures underway or completed.",—,—,—,✓,1,,,,GRI-2-27a | GRI-2-27i | GRI-2-27b | GRI-2-27c | GRI-2-27d